Manufacturer;HPModel;ProdCode
HP;HP EliteBook 840 G1;198F
HP;HP EliteBook 840 G2;2216
HP;HP EliteBook 840 G3;8079
HP;HP EliteDesk 800 G1 TWR;18E4
HP;HP EliteDesk 800 G1 USDT;18E5
HP;HP EliteDesk 800 G2 DM 65W;8056
HP;HP EliteDesk 800 G2 TWR;8053
HP;HP EliteDesk 800 G3 DM 65W;829A
HP;HP EliteDesk 800 G3 TWR;8298
HP;HP EliteDesk 800 G4 DM 65W;845A
HP;HP EliteDesk 800 G4 TWR;83E0
HP;HP EliteDesk 800 G5 DM 65W;8594
HP;HP EliteDesk 800 G5 TWR;8591
HP;HP Pro x2 612 G2;828B
HP;HP ProBook 650 G1;1993
HP;HP ProBook 650 G2;80FD
HP;HP Z4 G4 Workstation;81C5
HP;HP Z6 G4 Workstation;81C6
HP;HP Z840 Workstation;2129
